,P1,P2,region
0,4.467217222478974,25.719102720022555,East Asia/Southeast Asia
1,9.491951178197784,3.2975995828460363,Africa
2,-3.3282341809956395,13.440950872722867,South Asia
3,5.295752845967497,12.002801179331101,North America
4,6.076722404009915,1.9881306181947056,East Asia/Southeast Asia
5,0.898578868257501,2.8815680369227357,East Asia/Southeast Asia
6,1.6893172991255119,2.5667032380556076,South America
7,-6.002861802735014,2.716171617629675,Middle East
8,3.530391026581323,2.7248210040482945,Central Asia
9,4.013138147535794,-0.9291922962137055,Europe
10,-1.6470297385240429,-0.7637291565633644,South Asia
11,0.2301844057584687,4.328329472126141,Australia - Oceania
12,-2.8604951778068948,0.8871390027715185,South Asia
13,3.5448313573035484,0.4954162990353647,Europe
14,-2.9555752607412953,0.5312883187298704,Africa
15,-4.504062021596094,-2.2542930415958615,Middle East
16,-0.151283434636136,0.9374450011018424,East Asia/Southeast Asia
17,2.016344990364197,-0.2868167642591103,North America
18,-1.1121355502031574,1.8959471506230234,Africa
19,0.6531208189048844,1.2214769699905363,North America
20,0.6024748264724162,-2.616249636726061,East Asia/Southeast Asia
21,2.720289000724155,-0.5412055123351073,East Asia/Southeast Asia
22,-1.5540357110955194,-0.8823983847048535,East Asia/Southeast Asia
23,1.9856271171967252,-4.456388322500707,South America
24,0.8630352725229176,0.051780033568369584,East Asia/Southeast Asia
25,2.431820332566038,0.44101008317058316,Europe
26,2.3509689671736576,0.4563255988450585,Europe
27,-1.7705838363582609,-0.007213969720209809,Middle East
28,-1.1907399450169733,1.8317342991280636,Africa
29,2.434028431092025,-1.4853212716603685,East Asia/Southeast Asia
30,2.2779280486824245,-0.2660557480966224,Europe
31,0.670373303203958,0.3669321474803459,Middle East
32,-1.7069124367110362,0.899270142554636,Africa
33,-1.9090477573434903,-0.8569875007668313,Africa
34,1.7704081165742998,-0.3584705344466902,Europe
35,3.4031949079812214,-3.460835576258984,East Asia/Southeast Asia
36,-1.0964192894290647,-0.2592156017533942,East Asia/Southeast Asia
37,-2.3826526821766474,1.3034201718842184,Africa
38,-0.8092935042965349,1.0190559748555528,Africa
39,2.700044954167918,-3.0417923439287695,East Asia/Southeast Asia
40,-0.10290198341596758,0.9971922938866477,South America
41,1.4403861943244207,-0.3428542265313148,Australia - Oceania
42,-1.0509059425315814,0.903039880464414,Africa
43,0.6397355984131985,0.3097708970135725,South America
44,-0.3332577802101215,0.691224084841341,South Asia
45,0.7473238441665829,1.1033185038008244,Africa
46,2.262280117139442,1.636443332364617,Europe
47,-1.908177688351069,1.2290907042221912,Africa
48,-2.6023866907357114,1.1049655004318346,Africa
49,0.3184668039387842,-0.28551425706684186,East Asia/Southeast Asia
50,1.747505961154552,0.3684175859584621,Europe
51,4.057776105505802,-3.2541045137329356,Europe
52,-15.925464836334035,0.4195520249648504,South America
53,-0.5551267093842696,-1.7908384047717785,East Asia/Southeast Asia
54,1.138151507539473,2.5955907921633945,Middle East
55,-1.3042496597611395,0.3803073184410431,Africa
56,-0.0667943553542656,1.7673613178178857,Central Asia
57,2.3308355130603275,0.10775245268367689,Europe
58,-1.1068385157564498,2.3965704596598383,Africa
59,2.684945898549176,-0.03614809344477715,Europe
60,-2.1608837587461274,1.7792372955291997,Africa
61,-1.0038174611312702,0.7786874694007049,Africa
62,-2.2612933047915287,-0.03675163577882801,Africa
63,-2.6673322800497945,-3.376481295438241,Middle East
64,-3.639930477406024,-0.8575031104824365,Africa
65,1.9269384284235775,-0.41636234010175205,Europe
66,-2.1040910851630445,-0.8881078879179393,Africa
67,1.7169175359434308,-0.44461833795682526,Europe
68,-1.5998120426657882,1.1145150328058668,Africa
69,0.2864278309173513,-0.5043331751822026,Central Asia
70,0.764898548996131,-1.9163928313773886,North America
71,-0.9824776174123837,0.056752771202625146,East Asia/Southeast Asia
72,2.1189552136026095,0.2548832914056045,Europe
73,-2.770252397629241,-0.8560487550505731,Middle East
74,1.0665327631821138,1.7405760030487196,Middle East
75,2.0427753751229294,-0.09809754581669082,Europe
76,-2.2301980667002677,2.540346108615045,Africa
77,-1.0652746409936213,2.5318493436551543,South Asia
78,0.5268468976159616,0.19256223283615545,South America
79,-0.19741988829181875,0.4659502760332406,South America
80,-0.3383671784581255,-0.6189426386013704,South Asia
81,-0.7413065352197423,1.8794784075065925,Africa
82,-3.065371561501477,-0.6895286517540898,Middle East
83,2.0637416883565876,-0.5937668387225631,Europe
84,0.4863915555537517,1.1770660284224472,South Asia
85,-1.1728001979164953,0.8050927278825211,Africa
86,-0.7951742806570818,-3.8070355950508814,Middle East
87,-0.9741602858864604,1.3520299791061912,Africa
88,1.6667718106362772,1.6273505501429515,Central America
89,-1.3830911597562214,1.2938604486321823,Africa
90,1.825282269391982,-1.6581723850254906,Europe
91,-0.813324453360633,-0.1799080483464025,Central America
92,2.5549690370694487,0.1100051526886834,Europe
93,-1.9490790661248818,2.112396335151352,Africa
94,1.842577697341365,0.2127365175635134,Europe
95,-1.1414248021012925,0.410636519860002,Africa
96,2.889326702645696,0.8124439290232214,Europe
97,0.08998133782108905,1.2758685513680308,South America
98,-2.3736222425318085,1.8000508443564867,Africa
99,-0.5006883524342348,0.9233995541655423,Central Asia
100,1.7384120953811644,0.08831365299684354,Europe
101,-0.14269626202978847,-0.11987851780119906,South America
102,1.2308711439194888,0.08139338096315747,Australia - Oceania
103,2.1548951379718964,0.6484090538003656,Europe
104,-1.4872151824746216,1.5203410822453782,Africa
105,-1.6148988371600295,-0.49644784060355684,Middle East
106,1.4457903307744648,-3.6784495775327746,Middle East
