name,population,region,educationExpenditures,birthPer1000,deathPer1000,GDPPerCapita,inflationRate,militaryExpenditures,GDPPurchasePower,GDPGrowthRate,reservesOfForeignCurrency,electricityConsumption,laborForce
Rwanda,12943132,Africa,3.1,27.18,5.95,2227,3.3,1.2,28118000000,6.1,997600000,527300000,6227000
Lithuania,2711566,Europe,3.8,9.42,15.05,37231,2.3,2.13,1.03756E+11,4.33,4450000000,10500000000,1333000
Bolivia,11758869,South America,7.3,20.36,6.26,8724,1.8,1.4,1.00445E+11,2.22,10260000000,7785000000,5719000
Chad,17414108,Africa,2.5,41.05,9.7,1580,-0.9,2.2,25190000000,-3.1,22900000,208600000,5654000
Tajikistan,8990874,Central Asia,5.2,21.22,5.78,3380,7.7,2.2,31502000000,7.1,1292000000,12960000000,2295000
Portugal,10263850,Europe,5,8.02,10.9,34894,0.3,1.59,3.58344E+11,2.24,26110000000,46940000000,4717000
Peru,32201224,South America,3.8,16.67,6.09,12848,2.1,1.2,4.1769E+11,2.18,63830000000,44610000000,3421000
New Zealand,4991442,Australia - Oceania,6.3,12.83,6.91,42888,1.6,1.5,2.10877E+11,2.22,20680000000,39500000000,2709000
Hungary,9728337,Europe,4.7,8.72,12.88,32945,3.3,1.85,3.21869E+11,4.58,28000000000,39370000000,4414000
Burundi,12241065,Africa,5.1,35.48,6.07,752,-0.6,1.8,8667000000,0,97400000,382700000,5012000
Azerbaijan,10282283,Middle East,2.5,14.03,6.93,14404,2.6,4,1.44374E+11,0.1,6681000000,20240000000,4939000
Qatar,2479995,Middle East,2.7,9.38,1.42,90044,-0.6,2.5,2.5501E+11,1.6,15010000000,37240000000,1953000
Dominican Republic,10597348,Central America,0,18.24,6.29,18413,1.8,0.7,1.97735E+11,4.6,6873000000,15640000000,4732000
Lebanon,5261372,Middle East,2.5,13.35,5.57,14552,2.8,3,99761000000,1.5,55420000000,15710000000,2166000
Laos,7574356,East Asia/Southeast Asia,2.9,22.74,7.12,7826,0.8,0.2,56110000000,6.9,1270000000,5471000000,3582000
Cuba,11032343,Central America,12.8,10.25,9.22,12300,5.5,2.9,1.37E+11,1.6,11350000000,16160000000,4691000
Bulgaria,6919180,Europe,4.1,8.15,14.52,23174,3.1,1.6,1.61654E+11,3.39,28380000000,32340000000,3113000
Haiti,11198240,Central America,2.8,21.4,7.29,2905,14.7,0,32724000000,1.2,2361000000,406200000,4594000
Belarus,9441842,Europe,4.8,9.32,12.96,19150,5.6,1.2,1.81286E+11,1.22,7315000000,31720000000,4381000
Serbia,6974289,Europe,3.6,8.74,13.49,18233,-0.1,2.4,1.26625E+11,4.18,11910000000,29810000000,3000000
Somalia,12094640,Africa,0,38.25,11.82,0,1.5,1.3,20440000000,2.3,30450000,315300000,4154000
Jordan,10909567,Middle East,3.1,22.79,3.44,10071,0.3,5,1.01738E+11,2,15560000000,16820000000,731000
