name,population,region,educationExpenditures,birthPer1000,deathPer1000,GDPPerCapita,inflationRate,militaryExpenditures,GDPPurchasePower,GDPGrowthRate,reservesOfForeignCurrency,electricityConsumption,laborForce
Brunei,471103,East Asia/Southeast Asia,4.4,16.3,3.75,62100,-0.2,3.3,26906000000,1.3,3488000000,3771000000,203600
Gabon,2284912,Africa,2.7,26.14,5.76,14950,2.4,1.6,32480000000,0.5,981600000,2071000000,557800
Mauritius,1386129,Africa,4.7,12.44,7.23,22870,0.4,0.2,28947000000,3.8,5984000000,2726000000,554000
Eswatini,1113276,Africa,7.1,23.87,9.9,8622,6.2,1.8,9898000000,1.6,563100000,1431000000,427900
Maldives,390669,South Asia,4.1,15.69,4.12,19531,2.3,0,10370000000,4.8,477900000,373900000,222200
Fiji,939535,Australia - Oceania,3.9,16.9,6.31,13684,3.4,1.6,12178000000,3,1116000000,850000000,353100
Montenegro,607414,Europe,0,11.35,10.37,21470,0.3,1.72,13357000000,4.3,1077000000,2808000000,167000
Guyana,787971,South America,5.5,16.64,6.87,13082,2,1.7,10240000000,2.1,565400000,790100000,313800
New Caledonia,293608,Australia - Oceania,0,14.28,5.84,31100,1.4,0,11110000000,2,0,2739000000,119500
Timor-Leste,1413958,East Asia/Southeast Asia,6.8,31.45,5.67,3553,0.6,1,4593000000,-4.6,544400000,0,286700
Comoros,864335,Africa,2.5,22.98,6.61,3060,1,0,2603000000,2.7,208000000,39060000,278500
Suriname,614749,South America,0,14.7,6.1,16525,22,1.1,9606000000,1.9,424400000,1750000000,144000
"Bahamas, The",352655,Central America,0,14.78,6.34,37101,1.4,0,14450000000,1.4,1522000000,1654000000,196900
Guam,168801,Australia - Oceania,0,18.76,5.99,35600,1,0,5793000000,0.4,0,1601000000,73210
South Sudan,10984074,Africa,1.5,38.26,9.84,1600,187.9,3.5,20010000000,-5.2,73000000,391800000,0
Solomon Islands,690598,Australia - Oceania,9.9,23.07,3.97,2663,0.5,0,1783000000,3.5,0,95790000,202500
Cabo Verde,589451,Africa,5.2,18.78,5.84,7172,1.1,0.5,3944000000,4,617400000,367400000,196100
American Samoa,46366,Australia - Oceania,0,17.19,6,11200,-0.5,0,658000000,-2.5,0,157200000,17850
Equatorial Guinea,857008,Africa,0,30.09,7.16,18558,1.2,1.1,25164000000,-3.2,45500000,465000000,195200
Barbados,301865,Central America,4.4,10.96,7.9,15639,4.4,0.9,4488000000,-0.2,264500000,990000000,144000
Aruba,120917,Central America,5.5,11.95,8.54,37500,-0.5,0,4158000000,1.2,921800000,873300000,51610
Sierra Leone,6807277,Africa,7.7,35.04,9.7,1718,14.8,0.7,13425000000,3.7,478000000,279000000,132000
French Polynesia,297154,Australia - Oceania,0,13.69,5.51,17000,0,0,5490000000,2,0,629900000,126300
Vanuatu,303009,Australia - Oceania,4.5,21.95,3.97,3153,3.1,0,945000000,4.2,395100000,58590000,115900
Belize,405633,Central America,7.6,21.62,3.99,7005,1.1,1.2,2734000000,0.8,312100000,453000000,120500
Curacao,151885,Central America,4.9,13.29,8.65,24479,2.6,0,3856000000,3.6,0,968000000,73010
Saint Lucia,166637,Central America,3.3,12.27,7.96,15449,0.1,0,2823000000,3,321800000,343200000,79700
Isle of Man,90895,Europe,0,10.69,10.19,84600,4.1,0,6792000000,-8.6,0,0,41790
Sao Tome and Principe,213948,Africa,5.1,28.94,6.33,3970,7.8,0,853000000,3.9,58950000,61380000,72600
Jersey,101476,Europe,0,12.46,7.76,56600,3.7,0,5569000000,1,0,630100000,59950
Saint Vincent and the Grenadines,101145,Central America,5.7,12.44,7.42,12485,2.2,0,1380000000,0.7,182100000,146000000,57520
Virgin Islands,105870,Central America,0,11.84,8.58,37000,1,0,3872000000,0.9,0,654700000,48550
Bermuda,72084,North America,1.5,11.1,9.03,81798,1.9,0,5228000000,-0.1,0,604500000,33480
Cayman Islands,63131,Central America,0,11.77,5.89,71549,2,0,4591000000,1.7,0,612000000,39000
Samoa,204898,Australia - Oceania,4.2,19.32,5.36,6521,1.3,0,1285000000,2.5,133000000,122800000,50700
Marshall Islands,78831,Australia - Oceania,0,22.42,4.25,3889,0,0,227000000,2.5,0,604500000,10670
Sint Maarten,44564,Central America,0,12.75,5.9,35342,4,0,1436000000,3.6,0,0,23200
Kiribati,113001,Australia - Oceania,0,20.27,6.94,2272,0.4,0,267000000,3.1,0,26970000,39000
"Micronesia, Federated States of",101675,Australia - Oceania,12.5,18.65,4.18,3464,0.5,0,390000000,2,203700000,178600000,37920
Tonga,105780,Australia - Oceania,0,20.6,4.95,6383,7.4,0,667000000,2.5,198500000,48360000,33800
Guernsey,67334,Europe,0,9.77,9.19,52500,3.4,0,3465000000,0.4,0,0,31470
Antigua and Barbuda,99175,Central America,0,15.3,5.63,21910,2.5,0,2127000000,2.8,0,307800000,30000
Saint Kitts and Nevis,54149,Central America,2.6,12.43,7.24,26438,0,0,1396000000,2.1,365100000,193400000,18170
