,P1,P2,region
0,25.736826040844978,-0.790958730410479,East Asia/Southeast Asia
1,-0.2939776186171054,-1.255522694130787,Africa
2,11.608690678639265,-2.4671289215971517,South Asia
3,10.279785857173401,1.3860416601990857,North America
4,4.730910671884429,1.8377731962061483,East Asia/Southeast Asia
5,2.4207053741330773,-0.4982276653436874,East Asia/Southeast Asia
6,2.637793368414666,-0.12078114058933814,South America
7,0.003843100823219043,-1.6013343612674906,Middle East
8,3.2429409398894102,0.7521292599660647,Central Asia
9,1.2104779597196684,2.1447026600192465,Europe
10,0.7592320827925726,-0.9087757582315985,South Asia
11,-0.523609127170631,-0.01876548820114282,Australia - Oceania
12,1.1368298751475925,-1.8844704647886055,South Asia
13,2.0693847394420715,1.8414998599955836,Europe
14,0.8418884971389275,-1.6857755024269536,Africa
15,1.485465487673708,0.0666161905921853,Middle East
16,0.6537166202033735,-0.7068173185814054,East Asia/Southeast Asia
17,0.8857010264769447,1.3384357995992535,North America
18,0.178397773944883,-1.779021619515691,Africa
19,1.296365614372218,-0.13009428866236064,North America
20,1.0383536574508432,0.7885837165481767,East Asia/Southeast Asia
21,1.644688074193726,1.2022688755689952,East Asia/Southeast Asia
22,0.5159284217352338,-0.9281798810628682,East Asia/Southeast Asia
23,-0.45596366864763155,1.5759638277877117,South America
24,0.8422097802255717,0.3848510268122016,East Asia/Southeast Asia
25,1.414609381822744,1.1604785725711124,Europe
26,1.3345854531238457,1.1061731093510958,Europe
27,0.7552722987382549,-0.6779097550934323,Middle East
28,-0.4041548177729894,-1.8848657425111253,Africa
29,0.4429454086407435,2.048750374482622,East Asia/Southeast Asia
30,1.0782319906361886,1.4560024260174111,Europe
31,0.889344134820588,0.21911351308640695,Middle East
32,-0.20860373836371773,-1.9372599819859273,Africa
33,0.3844764538710612,-1.193904099808508,Africa
34,0.6479891099634119,1.370973812887333,Europe
35,-0.3725581500735087,3.315294952511046,East Asia/Southeast Asia
36,-0.006569219121738995,-0.7146746941586745,East Asia/Southeast Asia
37,-0.14213082793024567,-2.180159346031441,Africa
38,-0.2213539093843664,-1.3788457771719227,Africa
39,0.3729452728670568,2.2832622749751863,East Asia/Southeast Asia
40,0.18255546527837896,-0.5645485035280119,South America
41,0.36521983733446234,1.020787547146214,Australia - Oceania
42,-0.38877905355145875,-1.3145250072397066,Africa
43,0.15515678720780257,0.22856350007872137,South America
44,-0.2729501311949089,-0.7848806502606132,South Asia
45,0.2084867395227822,-0.17895725615112504,Africa
46,0.25709760942022997,0.5000589183281887,Europe
47,-0.46980447465387004,-1.91129306915717,Africa
48,-0.3507030787074192,-2.5479647151686566,Africa
49,0.1893400861853212,0.2978691004927232,East Asia/Southeast Asia
50,0.4599065335393545,1.028472261148216,Europe
51,-0.38465734034352345,3.95733606474361,Europe
52,-0.38415690325849156,-0.23239247640844865,South America
53,-0.35365965598098553,-0.029532205615555928,East Asia/Southeast Asia
54,0.15407987415777627,0.032507596140413875,Middle East
55,-0.4489719545317677,-1.4219365241524298,Africa
56,-0.07721526987145687,-0.8285292750405271,Central Asia
57,-0.006588419409191234,1.4551853983823697,Europe
58,-0.3940491926969122,-1.7775116291512303,Africa
59,-0.04986665035560806,1.5341130751477667,Europe
60,-0.35061869978842464,-2.1118158044954445,Africa
61,-0.37882381284330574,-1.2693989077214625,Africa
62,-0.3240935433276864,-1.754628662018957,Africa
63,0.18702910831343594,0.8831965245054261,Middle East
64,0.22983799640489783,-1.2077226752253054,Africa
65,0.10548773431280484,1.5466420832341317,Europe
66,-0.07172547770201457,-0.8019174132648998,Africa
67,0.0952446711139423,1.3937064027183423,Europe
68,-0.43035506159124254,-1.76168921175464,Africa
69,-0.10858623945802899,0.27795173605595225,Central Asia
70,-0.4926214099081179,1.026014081502281,North America
71,-0.32168439829787016,-0.9188145711833342,East Asia/Southeast Asia
72,-0.15967086276685521,1.3404293678287953,Europe
73,-0.07147393442188973,-1.3799302040553292,Middle East
74,-0.23915919780024367,-0.09444561579708666,Middle East
75,-0.10212703589897608,1.4944624440477718,Europe
76,-0.47942598269449876,-2.5748594974736165,Africa
77,-0.334399123429373,-1.5211609737666483,South Asia
78,-0.13047920245178687,0.28333044071548297,South America
79,-0.3287522762219847,-0.4929027714543311,South America
80,-0.26460239979154715,-0.1481894560919138,South Asia
81,-0.5026969563922171,-1.4698010082711115,Africa
82,-0.28206307881113507,-1.4997439837805966,Middle East
83,-0.16298175667401993,1.775981650271155,Europe
84,-0.5886520395429942,-0.13209758960897922,South Asia
85,-0.5352247717901019,-1.508659731586649,Africa
86,-0.17949498546546955,0.019488622053358187,Middle East
87,-0.4605993745980284,-1.5496352486051252,Africa
88,-0.5195841731065499,0.8113613558606979,Central America
89,-0.5099005596616538,-1.8290535929842664,Africa
90,-0.09409235079354729,1.049488855755309,Europe
91,-0.4773702638098032,-0.7904737557654378,Central America
92,-0.12560425438815476,1.581435561666335,Europe
93,-0.42755071851011556,-2.3527997312677007,Africa
94,0.021647710523992766,1.0547766978839912,Europe
95,-0.5091440948549494,-1.345391808559059,Africa
96,-0.21747002442135058,1.380273402716853,Europe
97,-0.43729096905643994,-0.6485045525233386,South America
98,-0.48225097262334016,-2.1125547624686467,Africa
99,-0.454317119904514,-1.0377572379812892,Central Asia
100,-0.14150003313949283,1.2305666648604776,Europe
101,-0.17334680923494836,-0.2576020226842794,South America
102,-0.3081665799611906,0.8681281318529551,Australia - Oceania
103,-0.11003059504960738,1.1999573517199194,Europe
104,-0.5567805875712406,-1.9646766360926429,Africa
