,variable,correlationSum
0,population,4.53911988386118
1,educationExpenditures,1.6131471498498322
2,birthPer1000,2.1027337103192494
3,deathPer1000,1.728778763050378
4,GDPPerCapita,2.08983728444486
5,inflationRate,1.4241328215835043
6,militaryExpenditures,1.9906801736334296
7,GDPPurchasePower,4.825475265972678
8,GDPGrowthRate,1.5041299167635862
9,reservesOfForeignCurrency,4.49383946820561
10,electricityConsumption,4.780752169213368
11,laborForce,4.705057040705675
